id,name,valence,year,acousticness,danceability,duration_ms,energy,explicit,instrumentalness,key,liveness,loudness,mode,popularity,speechiness,tempo
2Z5wXgysowvzl0nKGNGU0t,Out of My League,527,2013,0.0387,545,209386,968,0,0.00325,9,331,-3553,0,80,0.0853,169965
7oWbeO9v3Cfs900q7JhLAs,Come A Little Closer,304,2013,0.0265,0.44,229347,778,0,1.04e-06,1,151,-1786,0,71,0.0327,148038
4vsoWZcvtvSsE0OiVvDDvX,Harness Your Hopes - B-side,581,2008,289,604,206947,573,0,0.0406,2,133,-7804,1,73,37,107862
61OJxhoY3Ix50rYVKo8zRK,Can I Call You Tonight?,499,2019,134,641,278769,842,0,911,9,419,-7.27,1,80,0.0292,129978
3VIJBrMpvimHEw5wtPh2wB,Money,452,2011,216,603,233639,918,0,146,4,284,-6652,0,79,0.0641,102473
5ruzrDWcT0vuJIOMW7gMnW,The Adults Are Talking,649,2020,0.0113,593,309053,749,0,106,5,314,-5.67,1,83,0.0475,164959
1cwqP7Tyxu5z8XDYoPkNte,Chandelier,427,2020,674,333,127465,498,1,6.51e-06,2,0.12,-9121,0,76,0.0468,87082
3yXoqAiLWYQi5oNJN2MA4l,I Met Sarah in the Bathroom,229,2022,901,675,121375,408,0,0.000714,0,0.16,-10861,1,11,142,90111
3zksbXteOCeSusJ5Xltr3t,Bubble Gum,229,2019,979,509,175961,0.0167,0,2.72e-05,9,387,-24639,1,81,115,207.97
3jfZ9M23l0L7RxzYMTgBTv,Looking Out for You,937,2016,0.0884,682,179499,0.9,0,63,9,0.0685,-5028,1,82,0.0874,100721
0sTlGEld0h8kIPZaKDYUf4,Notion,312,2021,0.0673,309,195121,883,0,0.00111,9,0.0849,-3825,1,84,0.0808,159488
3Z6cltU0OfbUdSZtZlzKPL,Dream Girl,583,2019,372,945,179287,239,0,0.29,4,118,-17862,1,74,0.0389,118616
01TyFEZu6mHbffsVfxgrFn,Show Me How,544,2018,674,791,215111,267,0,534,5,102,-11997,1,62,0.0415,165.99
7zFXmv6vqI4qOt4yGf3jYZ,Get You (feat. Kali Uchis),358,2017,422,658,278180,294,0,5.2e-05,4,0.0749,-8533,0,86,0.0321,74038
0f8eRy9A0n6zXpKSHSCAEp,Infrunami,215,2020,0.31,826,178328,299,0,0.0952,9,0.0758,-7721,1,85,0.0446,97012
3a3dQOO19moXPeTt2PomoT,What You Heard,135,2019,546,429,238242,371,1,5.71e-06,2,104,-9017,0,82,0.0327,137134
1ucnuV88gFTfR3BalmznDk,Lover Is a Day,351,2016,0.0434,404,456000,647,1,198,3,0.1,-10452,1,76,0.0409,180128
1xK59OXxi2TAAAbmZK0kBL,Romantic Homicide,216,2022,453,571,132631,544,0,0.00805,6,322,-10613,1,91,0.0299,132052
4k6Uh1HXdhtusDW5y8Gbvy,Bad Habit,0.7,2022,613,686,232067,494,1,5.8e-05,1,402,-7093,1,83,0.0355,168946
74tLlkN3rgVzRqQJgPfink,Money Trees,344,2012,0.0703,716,386907,531,1,0.0,7,224,-7355,1,83,122,71994
2vWBUC9djv6BtiGlmKiQaH,YKWIM?,228,2019,937,372,212750,537,0,873,9,287,-7623,1,85,0.0305,123735
7sIx70dGj3VBiHWr0KZXfD,Blondie,866,2013,622,776,194733,626,0,899,6,86,-12561,1,79,0.0396,122072
0TZejo18HlJ86OrWNsXKnw,Mrs Magic,366,2019,159,471,208500,634,0,365,8,374,-7406,1,84,31,132542
3cxZT78mZDyLsLPJKcTu3U,Right Side of My Neck,315,2019,0.00116,716,153320,515,0,0.000249,1,326,-9073,1,77,0.0261,117039
3vjs2MDHoF9xhylNg6Y9un,Chateau (Feel Alright),343,2019,434,641,272157,365,0,8.49e-06,7,297,-11765,1,71,27,134874
5WbfFTuIldjL9x7W6y5l7R,Kingston,0.56,2019,154,0.73,202653,355,0,0.00155,10,117,-9.13,0,81,0.0359,142143
3CboywxfJIgvHqi2FF4exb,Loverboy,499,2019,649,604,224520,466,0,0.0334,0,93,-10093,1,68,0.0315,120045
00RLNHc2jkEjUoCUlFgPVT,welcome and goodbye,659,2018,0.0194,584,140643,717,0,756,0,0.0739,-5175,0,76,0.0266,140031
62C8Bd6EgEOofLZ1COjF3n,striptease,728,2019,124,693,160659,575,1,946,8,102,-8887,1,68,0.0727,130033
32pdmizVCumVDYAXTqHFRh,Dance In Room Song,759,2021,0.0293,583,171243,0.82,0,0.00119,11,608,-6774,1,57,0.0622,90611
2zAzuCsqsZkSkozxTXqtSn,Alive,0.72,2021,326,634,180295,837,0,835,5,545,-7141,1,4,0.0284,149623
78Sw5GDo6AlGwTwanjXbGh,Here With Me,288,2022,534,574,242485,469,0,9.21e-05,4,128,-8209,1,15,0.0254,132023
0JIMT9gzLIIz0esKLyjbKf,Telephones,183,2018,0.00283,526,212432,447,0,0.0301,2,109,-9268,1,85,0.0274,74995
2hIrHUgeI2cKYwM18MkGPK,Without You,297,2019,0.46,532,228080,529,0,206,7,161,-8652,1,65,0.0275,124934
6WlmEymaXKMRs3D2c4j6os,Inside Out,652,1998,0.84,553,141040,465,0,0.97,9,102,-9664,1,81,0.0301,79223
7IL8PSVwLOJxqYne6azxQv,Pretty Boy,569,2020,208,578,234093,386,0,0.0453,6,307,-11464,1,79,0.0278,154902
3hxIUxnT27p5WcmjGUXNwx,Shut up My Moms Calling,376,2020,325,485,164571,409,0,0.0,9,103,-10711,0,91,101,138419
3xKsf9qdS1CyvXSMEid6g8,Pink + White,549,2016,667,545,184516,545,0,5.48e-05,9,417,-7362,1,92,107,159.94
1eUGmzzvahJjOSWgDHuRlv,Girl With The Tattoo Enter.lewd,127,2010,856,372,102813,239,0,0.000175,6,168,-11314,0,85,0.0296,113451
0rKtyWc8bvkriBthvHKY8d,SLOW DANCING IN THE DARK,284,2018,544,515,209274,479,1,0.00598,3,191,-7458,1,74,0.0261,88964
4OmfWzukSVD140NiAIEjem,Static,215,2022,434,335,156507,305,1,631,1,101,-12661,1,79,0.0741,79001
0I1eFRytp4XRhLCjT6tZm7,I Can't Handle Change,0.39,2010,0.0447,247,198213,438,0,0.000867,5,111,-8478,1,82,0.0358,185711
2R4AlwtrrkMaRKojcTIzmL,For the First Time,521,2017,296,551,182307,529,0,0.0093,5,178,-10469,0,86,0.0517,75515
1ZgMsA55GIY7ICkQh5MILA,Space Song,0.6,2015,233,507,320467,0.79,0,139,0,145,-7307,0,80,0.0294,147065
0JXXNGljqupsJaZsgSbMZV,Sure Thing,498,2010,0.0267,684,195373,607,0,0.000307,11,191,-8127,0,90,0.1,81001
