id,name,valence,year,acousticness,danceability,duration_ms,energy,explicit,instrumentalness,key,liveness,loudness,mode,popularity,speechiness,tempo,user
2d7C38EFmRjhBoDVQlkBwq,"Requiem, K. 626: III. Sequentia: a. Dies irae (Orch. Süssmayr, Beyer) - Live",0.513,1999,0.934,0.46,119000,0.387,0,0.279,7,0.48,-13.384,0,52,0.0311,72.376,user_3
3PGPfeQTaZgHnmofWYBHSW,The Barber of Seville: Overture,0.535,1961,0.936,0.324,453067,0.218,0,0.684,4,0.249,-16.495,1,47,0.0592,174.556,user_3
5ZTzAI3nWryYIMNoXgWs1I,"Radetzky March, Op. 228",0.499,2009,0.643,0.479,185840,0.536,0,0.315,9,0.293,-12.253,1,42,0.0338,104.337,user_3
3yFR3RNSOdgP9KCgkFojDn,Valzer dei Fiori,0.161,2016,0.959,0.199,349707,0.096,0,0.87,2,0.0933,-20.625,1,29,0.038,94.774,user_3
4EInsYD17L0w7jXY9PMSUS,On the Beautiful Blue Danube - Waltz Op. 314,0.154,2003,0.96,0.231,574000,0.031,0,0.583,2,0.31,-24.915,1,40,0.037,80.505,user_3
7DNda2o2JGBo46azgB87E2,"Mozart: Le nozze di Figaro, K. 492, Act 1: Aria. ""Non più andrai, farfallone amoroso"" (Figaro)",0.499,2006,0.988,0.586,221627,0.235,0,0.0102,7,0.12,-16.492,1,43,0.045,65.639,user_3
3e0dy2rIp2OMa6NuYk0j8x,"Danse macabre, Op. 40",0.0594,1992,0.854,0.271,468360,0.107,0,0.553,7,0.0758,-23.701,0,37,0.0448,69.061,user_3
1UvaZaHkh3D9AkmBrrnbFg,Lacrimosa,0.0764,1999,0.964,0.0847,205493,0.0856,0,0.592,2,0.289,-24.716,0,63,0.0405,84.245,user_3
66EQLGUGxCKXzuLj1Zkt1E,Carnival of the Animals: Aquarium,0.04,2020,0.984,0.192,166133,0.0231,0,0.558,9,0.0776,-28.434,0,50,0.0464,70.368,user_3
1cd7Pft3rfZ0hmaOLI0EDB,"Valse sentimentale, Op. 51, No. 6",0.126,2021,0.96,0.203,285000,0.256,0,0.0935,5,0.0913,-13.509,0,49,0.0401,95.578,user_3
6cUCckpdlqHJ5Ascf2uH2A,"Symphony No. 5 in C Minor, Op. 67: I. Allegro con brio",0.157,1995,0.957,0.248,442000,0.298,0,0.9,0,0.0943,-15.661,0,1,0.0395,97.853,user_3
2d7139N7CJ9eJmGVE42Y44,Carmina Burana: O Fortuna,0.338,2009,0.96,0.392,162773,0.307,0,0.0451,2,0.0854,-13.074,0,56,0.0333,136.883,user_3
0IyGHPrmMBLPZZ7Nrc9wAg,"Mendelssohn: String Quartet No. 6 in F Minor, Op. 80, MWV R37: II. Allegro assai",0.233,2013,0.926,0.352,273948,0.289,0,0.692,5,0.172,-11.603,0,40,0.0469,138.85,user_3
2uhNv2XPgmzWNsnxQBwJsh,"Requiem, K. 626: III. Sequentia: e. Confutatis (Orch. Süssmayr, Beyer) - Live",0.0377,1999,0.991,0.153,154000,0.0248,0,0.139,5,0.187,-21.572,1,47,0.0503,69.58,user_3
62dD6AMgEvZq5OCHAZ7d9a,"Piano Concerto No. 1 in B-Flat Minor, Op. 23, TH. 55: I. Allegro non troppo e molto maestoso - Allegro con spirito - Live at Philharmonie, Berlin",0.0394,1989,0.981,0.228,1421467,0.0776,0,0.91,10,0.166,-20.358,0,51,0.0379,75.8,user_3
363LVCWmC8oafSBJXsJgB7,"Coriolan, Op. 62: Overture",0.148,1985,0.726,0.259,537507,0.172,0,0.901,5,0.108,-17.061,0,46,0.038,76.361,user_3
23NJBREsAKnklLgwpAJKxT,De profundis,0.145,2008,0.99,0.15,183000,0.101,0,0.404,5,0.0994,-16.918,0,33,0.0388,77.236,user_3
4Ivo07fh9EyPtPinrxXlC4,"Violin Concerto in E Minor, Op. 64, MWV O 14: 1. Allegro molto appassionato",0.167,2011,0.919,0.287,727787,0.145,0,0.144,4,0.0987,-19.665,0,47,0.0406,101.679,user_3
4L9io4XpkeysnBBbn6VH3r,"Marche slave, Op. 31, TH 45",0.0692,2012,0.868,0.331,555506,0.232,0,0.934,10,0.0973,-17.72,0,3,0.0431,109.802,user_3
7wyOeWMb8aiR2qjdCEEYZJ,Moonlight Sonata (3rd Movement),0.113,2020,0.968,0.242,427247,0.193,0,0.862,9,0.105,-23.566,1,1,0.037,155.866,user_3
61dYvvfIRtIDFuqZypPAta,"Cello Suite No. 1 in G Major, BWV 1007: I. Prélude",0.307,1983,0.9,0.257,151480,0.109,0,0.867,7,0.0762,-21.356,1,68,0.0597,75.02,user_3
7nHvS6UUhz2gJhj8TIROLX,"Adagio for Strings, Op. 11",0.0296,1964,0.912,0.115,596227,0.0858,0,0.9,10,0.0906,-20.432,0,60,0.0447,89.296,user_3
1Uf9cT6BIRr333uIZ64H0T,"Concerto Grosso for Strings ""Palladio"": I. Allegretto",0.243,2020,0.925,0.453,153088,0.399,0,0.936,2,0.235,-15.212,0,46,0.0365,95.217,user_3
6nqHzwOdGIaX57U6VU6kMO,"Symphony No. 9 in E Minor, Op. 95, B. 178 ""From the New World"": IV. Allegro con fuoco",0.112,1985,0.901,0.249,685000,0.163,0,0.741,4,0.124,-15.638,0,59,0.0351,136.037,user_3
